words,frequency
Buyuk,1
Britaniya,1
va,4
Italiya,1
arxitektorlari,1
kelajak,1
binolari,1
suv,2
ustida,2
qurilishi,2
kerakligini,1
ta’kidlamoqda,1
Iqlimning,1
o‘zgarishi,2
bunga,1
asosiy,1
sabab,2
deya,1
ko‘rsatilgan,1
Bu,3
haqda,2
“Nypost”,1
nashri,1
xabar,3
berdi,2
Qayd,2
etilishicha,2
dastlab,1
bunday,1
shaharlardan,1
sayyohlik,1
markazi,1
mehmonxona,1
sog‘lomlashtirish,1
va,4
dam,2
olish,1
markazlari,1
o‘rin,1
oladi,1
Keyinchalik,1
oddiy,1
aholi,1
yashashi,1
uchun,1
ham,2
xuddi,1
shunday,1
shaharlar,3
barpo,2
etiladi,1
Ularning,2
afzalligi,1
iqlim,1
o‘zgarishi,2
sabab,2
sodir,1
bo‘ladigan,1
hodisalar,1
–,1
muzlarning,1
erishi,1
tuproq,1
ko‘chkilari,1
zilzila,1
vulqon,1
otishi,1
havo,1
haroratining,1
keskin,1
ko‘tarilishi,1
yoki,1
tushishi,1
holatlarida,1
odamlarni,1
saqlashdan,1
iborat,1
Shuningdek,1
bu,3
g‘oyani,1
ilgari,1
surayotgan,1
arxitektorlar,2
tomonidan,1
bir,1
qator,1
loyihalar,1
taqdim,1
etilgan,1
Loyihaga,1
ko‘ra,1
suv,2
ustidagi,1
shaharlar,3
faol,1
harakatda,1
bo‘ladi,2
Suv,1
to‘lqinlaridan,1
elektr,1
energiyasi,1
ishlab,1
chiqariladi,1
hamda,1
to‘liq,1
“yashil”,1
transport,1
tizimiga,1
o‘tiladi,1
Shaharchadagi,1
binolar,2
asosan,1
oynalar,1
bilan,1
tashqi,1
tomondan,1
qoplaniladi,1
Ularning,2
tom,3
qismi,1
yashil,2
hududga,1
aylantiriladi,1
Eslatib,1
o‘tamiz,1
Saudiya,2
Arabistonining,1
Neom,1
shahrida,1
dunyodagi,2
eng,3
katta,1
suzuvchi,2
port,2
shaharcha,1
qurilishi,2
haqida,2
xabar,3
berilgan,1
edi,2
Avvalroq,1
Saudiya,2
Arabistoni,2
qiymati,1
milliard,1
dollarga,1
teng,1
ulkan,1
toshbaqa,1
shaklidagi,1
“suzuvchi”,1
shaharni,1
barpo,2
etayotgani,1
haqida,2
m’lumot,1
bergan,1
edik,1
AQSHning,1
Ogayo,1
shtatida,1
yashovchi,1
yoshli,1
chihuahua,1
zotiga,1
mansub,1
“Spayk”,3
laqabli,1
it,10
Ginnesning,1
rekordlar,1
kitobiga,1
dunyodagi,2
eng,3
keksa,1
it,10
sifatida,1
kiritildi,1
Bu,3
haqda,2
CNN,1
xabar,3
berdi,2
Qayd,2
etilishicha,2
Ginnes,2
regordlar,1
kitobi,2
xodimlari,1
yil,3
dekabrda,1
it,10
yashayotgan,1
Kamden,1
qishlog‘ida,1
tekshiruv,1
o‘tkazib,1
“Spayk”ning,1
yil,3
noyabr,1
oyida,1
tug‘ilganini,1
aniqlashgan,1
va,4
unga,2
kamida,1
yoshu,1
kunlik,1
ekanligini,1
tasdiqlovchi,1
sertifikat,1
berishgan,1
Itning,1
egasi,1
Rita,1
Kimbolning,1
aytishicha,1
u,53
yilda,1
“Spayk”ni,2
oziq-ovqat,1
do‘konining,1
avtoturargohidan,1
topib,1
olgan,1
Do‘kon,1
sotuvchisi,1
jonivorning,1
uch,2
kundan,1
beri,3
shu,3
yerda,1
yurganini,1
aytgach,1
uni,2
uyiga,1
olib,1
ketgan,1
